reg|name|promoter|district|project_type|started|units
RP/19/2026/01417|Seville by Metro Kings Court|M/S. CITY TRADE ARCADE PRIVATE LIMITED|Khordha|Residential|Jan, 2026|11
RP/11/2026/01415|NANDIGHOSH NORTH-CITY|NANDIGHOSH ESTATES PVT. LTD.|Ganjam|Residential|Jan, 2026|298
RP/19/2026/01414|SANDHYA TARA|PRATH ESTATE PVT LTD|Khordha|Residential|Jan, 2026|16
RP/19/2026/01413|STALWART RA SOBHAN'S KOTTAGE|STALWART RA HOUSING COMPANY|Khordha|Residential|Jan, 2026|12
RP/09/2026/01412|Shree Sai Palace|Shree Sai Promoters and Developers|Dhenkanal|Residential|Jan, 2026|60
RP/30/2025/01409|BRAHMANI HILLS|M/s. Brahmani Developers Pvt. Ltd|Sundargarh|Residential|Dec, 2025|52
RP/19/2025/01408|Laxmi Medous|M/s LAXMI INFRA VENTURE PVT.LTD|Khordha|Residential|Dec, 2025|59
RP/19/2025/01407|TM'S SIGNATURE|M/s. T.M Constructions|Khordha|Residential|Dec, 2025|40
RP/19/2025/01406|STALWART LAXMI|STALWART PROJECTS PRIVATE LIMITED|Khordha|Residential|Dec, 2025|15
RP/19/2025/01405|My Hill Nest Ph -II|MS MY NEST ASSETS PRIVATE LIMITED|Khordha|Residential|Nov, 2025|24
RP/11/2025/01404|RAJA RANI HIGHFIELD PHASE 2|RAJA RANI REAL ESTATE|Ganjam|Residential|Dec, 2025|179
RP/19/2025/01403|EUPHORIA|MONUMENT CONSTRUCTION & DEVELOPER PVT LTD|Khordha|Residential|Nov, 2025|42
RP/19/2025/01402|AMBROSIA|M/S. HIGH FIELD PROPERTIES PVT. LTD.|Khordha|Residential|Nov, 2025|85
RP/19/2025/01401|TM JAGANNATH NILAYA|M/s. T.M Constructions|Khordha|Residential|Nov, 2025|10
RP/19/2025/01397|TRINITY CHANAKYA|TRINITY VIBRANT CONSTRUCTION PRIVATE LIMITED|Khordha|Residential|Nov, 2025|10
RP/03/2025/01396|Apple Green|Ashiyana Realcon Private Limited|Balasore|Residential|Nov, 2025|16
RP/19/2025/01395|RADHA GOVIND AMOGH|Radha Govind Future Solutions Private Limited|Khordha|Residential|Nov, 2025|18
RP/19/2025/01393|JD NEXUS|JAY LAXMI DEVELOPERS|Khordha|Residential|Oct, 2025|30
RP/19/2025/01392|Royal Presidency|SJD PRESIDENCY HOMES LLP|Khordha|Residential|Oct, 2025|102
RP/07/2025/01389|MAHODADHI GALAXY|MAHODADHI HOMES PRIVATE LIMITED|Cuttack|Residential|Sep, 2025|59
RP/19/2025/01388|ADPL IVANTI|ADIMANI DEVELOPERS PRIVATE LIMITED|Khordha|Residential|Sep, 2025|12
RP/19/2025/01387|Geneva by Metro Kings Court|M/S. CITY TRADE ARCADE PRIVATE LIMITED|Khordha|Residential|Sep, 2025|
RP/19/2025/01386|JB GREEN|M/s. Jena Brothers infrastructure Pvt. Ltd.|Khordha|Residential|Sep, 2025|20
RP/19/2025/01385|ANUSAYA DURGA BHAWAN|AMOGHA REALCON PRIVATE LIMITD|Khordha|Residential|Aug, 2025|12
RP/09/2025/01384|SRI CHAITANYA ENCLAVE|KP PROJECTS|Dhenkanal|Residential|Aug, 2025|54
RP/30/2025/01383|STALWART BISHNUPRIYA NIWAS|STALWART PROJECTS PRIVATE LIMITED|Sundargarh|Residential|Aug, 2025|60
RP/19/2025/01381|Gagani Residency|Anupam Realcon Pvt Ltd|Khordha|Residential|Aug, 2025|42
RP/13/2025/01380|LIFE BRINDAVANAM|LIFE INFRA ENGINEERS INDIA LLP|Jajapur|Residential|Aug, 2025|40
RP/11/2025/01379|SHAKTI APARTMENT|SRRD DEVELOPERS PRIVATE LIMITED|Ganjam|Residential|Aug, 2025|16
RP/19/2025/01378|AFFORDABLE HOUSING PATIA-2|M/s. Trident Properties Private Limited|Khordha|Affordable housing and slum re-development and Rehabilitation housing|Aug, 2025|90
RP/07/2025/01377|JOEL SHIV SAGAR|JOEL REALTY VENTURES|Cuttack|Residential|Aug, 2025|15
RP/26/2025/01376|MAHESWARI DIVINE HOMES|MAHESWARI REALCON|Puri|Residential|Aug, 2025|19
RP/19/2025/01375|PANDA ANNAPURNA ECO HABITATS|M/s. Panda Infratech Limited|Khordha|Residential|Jul, 2025|15
RP/19/2025/01374|STALWART NEST|STALWART PROJECTS PRIVATE LIMITED|Khordha|Residential|Jul, 2025|7
RP/26/2025/01373|AVARTANA|TIRUMALA INFRASTRUCTURE AND DEVELOPMENT PVT. LTD.|Puri|Residential|Jul, 2025|271
